Type,Episode,Total_Episodes,Env_ID,Env_Reward,Total_Reward,Alignment_Bonus,Compliance,Fixes,Steps
episode,1,,0,-907.70,-885.20,22.50,0.7500,16.0,100
episode,1,,1,-446.80,-436.80,10.00,0.3333,18.0,100
episode,1,,2,-1142.80,-1138.80,4.00,0.1333,15.0,100
episode,1,,3,-1049.80,-1040.98,8.82,0.2941,17.0,100
episode,1,,4,-856.40,-853.24,3.16,0.1053,19.0,100
episode,1,,5,-916.80,-916.80,0.00,0.0000,16.0,100
episode,1,,6,-384.40,-361.90,22.50,0.7500,24.0,100
episode,1,,7,-697.60,-681.95,15.65,0.5217,23.0,100
episode,1,,8,-1145.80,-1126.30,19.50,0.6500,20.0,100
episode,1,,9,-435.80,-421.95,13.85,0.4615,13.0,100
episode,1,,10,-1062.40,-1062.40,0.00,0.0000,16.0,100
episode,1,,11,-1136.10,-1133.79,2.31,0.0769,26.0,100
episode,1,,12,-751.80,-739.30,12.50,0.4167,24.0,100
episode,1,,13,-1141.20,-1133.70,7.50,0.2500,20.0,100
episode,1,,14,-1138.00,-1134.67,3.33,0.1111,18.0,100
episode,1,,15,-660.70,-660.70,0.00,0.0000,26.0,100
episode,1,,16,-1088.70,-1088.70,0.00,0.0000,20.0,100
episode,1,,17,-973.80,-955.05,18.75,0.6250,8.0,100
episode,1,,18,-1088.80,-1085.47,3.33,0.1111,18.0,100
episode,1,,19,-1083.80,-1078.18,5.62,0.1875,16.0,100
episode,1,,20,-241.70,-213.00,28.70,0.9565,23.0,100
episode,1,,21,-470.70,-467.17,3.53,0.1176,17.0,100
episode,1,,22,-536.80,-536.80,0.00,0.0000,18.0,100
episode,1,,23,-839.80,-837.07,2.73,0.0909,11.0,100
episode,1,,24,-701.80,-674.30,27.50,0.9167,24.0,100
summary,,25,,-836.00,-826.57,9.43,0.3144,18.64,
episode,2,,0,-188.00,-188.00,0.00,0.0000,22.0,100
episode,2,,1,-181.10,-181.10,0.00,0.0000,14.0,100
episode,2,,2,-572.20,-545.73,26.47,0.8824,17.0,100
episode,2,,3,-1213.00,-1203.00,10.00,0.3333,12.0,100
episode,2,,4,-954.00,-939.00,15.00,0.5000,18.0,100
episode,2,,5,-195.90,-189.23,6.67,0.2222,18.0,100
episode,2,,6,-1208.00,-1199.00,9.00,0.3000,20.0,100
episode,2,,7,-201.00,-191.00,10.00,0.3333,12.0,100
episode,2,,8,-1267.00,-1267.00,0.00,0.0000,24.0,100
episode,2,,9,-180.00,-163.64,16.36,0.5455,11.0,100
episode,2,,10,-1202.00,-1187.88,14.12,0.4706,17.0,100
episode,2,,11,-1199.00,-1184.00,15.00,0.5000,14.0,100
episode,2,,12,-218.00,-205.14,12.86,0.4286,14.0,100
episode,2,,13,-1303.00,-1300.69,2.31,0.0769,13.0,100
