Type,Episode,Total_Episodes,Env_ID,Env_Reward,Total_Reward,Alignment_Bonus,Compliance,Fixes,Steps
episode,1,,0,-279.00,-265.45,13.55,0.4516,31.0,100
episode,1,,1,-798.70,-782.82,15.88,0.5294,17.0,100
episode,1,,2,-340.50,-333.00,7.50,0.2500,24.0,100
episode,1,,3,-605.70,-601.01,4.69,0.1562,32.0,100
episode,1,,4,-284.40,-275.09,9.31,0.3103,29.0,100
episode,1,,5,-259.90,-252.76,7.14,0.2381,42.0,100
episode,1,,6,-295.60,-287.27,8.33,0.2778,36.0,100
episode,1,,7,-918.10,-914.35,3.75,0.1250,32.0,100
episode,1,,8,-249.90,-240.81,9.09,0.3030,33.0,100
episode,1,,9,-622.60,-596.65,25.95,0.8649,37.0,100
episode,1,,10,-259.40,-247.18,12.22,0.4074,27.0,100
episode,1,,11,-244.20,-235.92,8.28,0.2759,29.0,100
episode,1,,12,-315.10,-308.67,6.43,0.2143,42.0,100
episode,1,,13,-259.40,-247.40,12.00,0.4000,25.0,100
episode,1,,14,-282.60,-275.10,7.50,0.2500,28.0,100
episode,1,,15,-342.80,-335.74,7.06,0.2353,34.0,100
episode,1,,16,-289.60,-278.60,11.00,0.3667,30.0,100
episode,1,,17,-331.00,-323.80,7.20,0.2400,25.0,100
episode,1,,18,-320.70,-311.61,9.09,0.3030,33.0,100
episode,1,,19,-288.50,-276.83,11.67,0.3889,36.0,100
episode,1,,20,-261.40,-249.93,11.47,0.3824,34.0,100
episode,1,,21,-383.90,-376.40,7.50,0.2500,28.0,100
episode,1,,22,-283.60,-278.60,5.00,0.1667,30.0,100
episode,1,,23,-241.40,-234.20,7.20,0.2400,25.0,100
episode,1,,24,-295.30,-290.75,4.55,0.1515,33.0,100
summary,,25,,-362.13,-352.80,9.33,0.3111,30.88,
episode,2,,0,-246.00,-246.00,0.00,0.0000,16.0,100
episode,2,,1,-313.10,-302.60,10.50,0.3500,40.0,100
episode,2,,2,-391.40,-384.48,6.92,0.2308,26.0,100
episode,2,,3,-306.30,-300.77,5.53,0.1842,38.0,100
episode,2,,4,-369.50,-359.26,10.24,0.3415,41.0,100
episode,2,,5,-358.70,-354.41,4.29,0.1429,42.0,100
episode,2,,6,-363.40,-353.62,9.78,0.3261,46.0,100
episode,2,,7,-280.40,-274.59,5.81,0.1935,62.0,100
episode,2,,8,-341.50,-333.72,7.78,0.2593,27.0,100
episode,2,,9,-334.10,-328.23,5.87,0.1957,46.0,100
episode,2,,10,-341.40,-334.16,7.24,0.2414,29.0,100
episode,2,,11,-391.50,-381.82,9.68,0.3226,31.0,100
episode,2,,12,-382.90,-379.74,3.16,0.1053,57.0,100
episode,2,,13,-371.70,-365.21,6.49,0.2162,37.0,100
episode,2,,14,-345.30,-338.16,7.14,0.2381,42.0,100
episode,2,,15,-374.50,-367.36,7.14,0.2381,42.0,100
episode,2,,16,-368.80,-361.94,6.86,0.2286,35.0,100
episode,2,,17,-263.50,-260.93,2.57,0.0857,35.0,100
episode,2,,18,-359.70,-355.81,3.89,0.1296,54.0,100
episode,2,,19,-354.70,-345.78,8.92,0.2973,37.0,100
episode,2,,20,-369.40,-367.44,1.96,0.0652,46.0,100
episode,2,,21,-351.20,-346.38,4.82,0.1607,56.0,100
episode,2,,22,-362.20,-357.91,4.29,0.1429,35.0,100
episode,2,,23,-337.50,-314.77,22.73,0.7576,33.0,100
episode,2,,24,-335.80,-328.94,6.86,0.2286,35.0,100
summary,,50,,-344.58,-337.76,6.82,0.2273,39.52,
episode,3,,0,-252.00,-248.67,3.33,0.1111,27.0,100
episode,3,,1,-337.00,-327.00,10.00,0.3333,36.0,100
episode,3,,2,-353.00,-349.67,3.33,0.1111,27.0,100
episode,3,,3,-378.70,-372.70,6.00,0.2000,35.0,100
episode,3,,4,-393.10,-391.14,1.96,0.0652,46.0,100
episode,3,,5,-379.00,-377.42,1.58,0.0526,57.0,100
episode,3,,6,-391.20,-385.94,5.26,0.1754,57.0,100
episode,3,,7,-259.40,-252.58,6.82,0.2273,44.0,100
episode,3,,8,-346.00,-344.00,2.00,0.0667,30.0,100
episode,3,,9,-368.10,-358.10,10.00,0.3333,33.0,100
episode,3,,10,-386.00,-382.87,3.12,0.1042,48.0,100
