Type,Episode,Total_Episodes,Env_ID,Env_Reward,Total_Reward,Alignment_Bonus,Compliance,Fixes,Steps
episode,1,,0,-403.60,-380.90,22.70,0.7568,37.0,100
episode,1,,1,-259.40,-231.22,28.18,0.9394,33.0,100
episode,1,,2,-298.70,-276.88,21.82,0.7273,22.0,100
episode,1,,3,-189.50,-161.32,28.18,0.9394,33.0,100
episode,1,,4,-319.20,-290.17,29.03,0.9677,31.0,100
episode,1,,5,-301.00,-279.46,21.54,0.7179,39.0,100
episode,1,,6,-704.50,-679.64,24.86,0.8286,35.0,100
episode,1,,7,-210.10,-188.92,21.18,0.7059,34.0,100
episode,1,,8,-447.90,-430.17,17.73,0.5909,44.0,100
episode,1,,9,-337.20,-311.49,25.71,0.8571,42.0,100
episode,1,,10,-233.20,-211.20,22.00,0.7333,30.0,100
episode,1,,11,-274.50,-250.13,24.38,0.8125,32.0,100
episode,1,,12,-396.60,-377.19,19.41,0.6471,34.0,100
episode,1,,13,-284.60,-259.34,25.26,0.8421,38.0,100
episode,1,,14,-817.30,-807.99,9.31,0.3103,29.0,100
episode,1,,15,-277.00,-247.83,29.17,0.9722,36.0,100
episode,1,,16,-264.70,-248.25,16.45,0.5484,31.0,100
episode,1,,17,-927.70,-924.49,3.21,0.1071,28.0,100
episode,1,,18,-243.30,-219.86,23.44,0.7812,32.0,100
episode,1,,19,-197.70,-173.06,24.64,0.8214,28.0,100
episode,1,,20,-258.80,-236.85,21.95,0.7317,41.0,100
episode,1,,21,-230.60,-204.89,25.71,0.8571,35.0,100
episode,1,,22,-191.20,-166.49,24.71,0.8235,34.0,100
episode,1,,23,-431.00,-404.00,27.00,0.9000,40.0,100
episode,1,,24,-196.20,-170.37,25.83,0.8611,36.0,100
summary,,25,,-347.82,-325.28,22.54,0.7512,34.16,
episode,2,,0,-231.30,-202.73,28.57,0.9524,42.0,100
episode,2,,1,-253.70,-244.27,9.43,0.3143,35.0,100
episode,2,,2,-247.40,-224.70,22.70,0.7568,37.0,100
episode,2,,3,-135.00,-115.00,20.00,0.6667,12.0,100
episode,2,,4,-353.30,-324.05,29.25,0.9750,40.0,100
episode,2,,5,-349.70,-328.93,20.77,0.6923,26.0,100
episode,2,,6,-231.10,-205.81,25.29,0.8431,51.0,100
episode,2,,7,-250.10,-221.77,28.33,0.9444,36.0,100
episode,2,,8,-339.80,-317.12,22.68,0.7561,41.0,100
episode,2,,9,-292.60,-265.15,27.45,0.9149,47.0,100
episode,2,,10,-274.40,-247.48,26.92,0.8974,39.0,100
episode,2,,11,-364.60,-350.01,14.59,0.4865,37.0,100
episode,2,,12,-260.80,-235.09,25.71,0.8571,35.0,100
episode,2,,13,-306.10,-281.35,24.75,0.8250,40.0,100
episode,2,,14,-262.70,-234.84,27.86,0.9286,28.0,100
episode,2,,15,-303.00,-276.10,26.90,0.8966,29.0,100
episode,2,,16,-286.80,-268.13,18.67,0.6222,45.0,100
episode,2,,17,-675.90,-653.14,22.76,0.7586,29.0,100
episode,2,,18,-360.80,-331.66,29.14,0.9714,35.0,100
episode,2,,19,-232.00,-222.63,9.38,0.3125,16.0,100
episode,2,,20,-360.90,-342.72,18.18,0.6061,33.0,100
episode,2,,21,-288.20,-259.56,28.64,0.9545,44.0,100
episode,2,,22,-271.90,-256.49,15.41,0.5135,37.0,100
episode,2,,23,-361.80,-335.33,26.47,0.8824,34.0,100
episode,2,,24,-257.40,-238.58,18.82,0.6275,51.0,100
summary,,50,,-302.05,-279.30,22.75,0.7582,35.96,
episode,3,,0,-376.40,-351.49,24.91,0.8302,53.0,100
episode,3,,1,-335.70,-312.84,22.86,0.7619,42.0,100
episode,3,,2,-344.80,-318.13,26.67,0.8889,36.0,100
episode,3,,3,-185.00,-164.60,20.40,0.6800,25.0,100
episode,3,,4,-306.80,-279.41,27.39,0.9130,46.0,100
episode,3,,5,-346.90,-324.04,22.86,0.7619,42.0,100
episode,3,,6,-233.30,-213.61,19.69,0.6562,32.0,100
episode,3,,7,-337.20,-315.66,21.54,0.7179,39.0,100
episode,3,,8,-374.30,-347.16,27.14,0.9048,42.0,100
episode,3,,9,-293.30,-269.55,23.75,0.7917,48.0,100
episode,3,,10,-335.10,-308.26,26.84,0.8947,38.0,100
episode,3,,11,-289.00,-265.32,23.68,0.7895,38.0,100
episode,3,,12,-244.40,-219.02,25.38,0.8462,39.0,100
episode,3,,13,-261.40,-243.90,17.50,0.5833,36.0,100
episode,3,,14,-259.60,-235.88,23.72,0.7907,43.0,100
episode,3,,15,-339.40,-312.26,27.14,0.9048,42.0,100
episode,3,,16,-254.00,-227.85,26.15,0.8718,39.0,100
episode,3,,17,-343.00,-320.86,22.14,0.7381,42.0,100
episode,3,,18,-343.10,-317.98,25.12,0.8372,43.0,100
episode,3,,19,-144.20,-114.20,30.00,1.0000,30.0,100
episode,3,,20,-345.90,-319.56,26.34,0.8780,41.0,100
episode,3,,21,-329.50,-305.88,23.62,0.7872,47.0,100
episode,3,,22,-323.40,-322.54,0.86,0.0286,35.0,100
episode,3,,23,-330.30,-302.67,27.63,0.9211,38.0,100
episode,3,,24,-335.90,-309.09,26.81,0.8936,47.0,100
summary,,75,,-304.48,-280.87,23.61,0.7869,40.12,
episode,4,,0,-236.90,-208.99,27.91,0.9302,43.0,100
episode,4,,1,-347.50,-344.29,3.21,0.1071,28.0,100
episode,4,,2,-327.70,-303.15,24.55,0.8182,44.0,100
episode,4,,3,-292.00,-266.29,25.71,0.8571,42.0,100
episode,4,,4,-295.70,-267.81,27.89,0.9298,57.0,100
episode,4,,5,-244.40,-222.84,21.56,0.7188,32.0,100
episode,4,,6,-335.90,-315.68,20.22,0.6739,46.0,100
episode,4,,7,-339.60,-317.10,22.50,0.7500,36.0,100
episode,4,,8,-302.50,-279.48,23.02,0.7674,43.0,100
episode,4,,9,-334.10,-307.16,26.94,0.8980,49.0,100
episode,4,,10,-275.10,-260.10,15.00,0.5000,36.0,100
episode,4,,11,-254.40,-228.40,26.00,0.8667,45.0,100
episode,4,,12,-278.90,-257.30,21.60,0.7200,50.0,100
episode,4,,13,-245.10,-228.60,16.50,0.5500,40.0,100
episode,4,,14,-294.90,-266.30,28.60,0.9535,43.0,100
episode,4,,15,-327.10,-299.71,27.39,0.9130,46.0,100
episode,4,,16,-332.00,-304.00,28.00,0.9333,45.0,100
episode,4,,17,-364.00,-339.45,24.55,0.8182,44.0,100
episode,4,,18,-349.10,-333.77,15.33,0.5111,45.0,100
episode,4,,19,-303.00,-276.24,26.76,0.8919,37.0,100
episode,4,,20,-323.90,-295.03,28.87,0.9623,53.0,100
episode,4,,21,-303.60,-294.92,8.68,0.2895,38.0,100
episode,4,,22,-265.40,-241.99,23.41,0.7805,41.0,100
episode,4,,23,-273.70,-267.47,6.23,0.2075,53.0,100
episode,4,,24,-276.60,-254.26,22.34,0.7447,47.0,100
summary,,100,,-300.92,-279.21,21.71,0.7237,43.32,
episode,5,,0,-319.80,-291.02,28.78,0.9592,49.0,100
episode,5,,1,-313.70,-291.56,22.14,0.7381,42.0,100
episode,5,,2,-362.00,-336.91,25.09,0.8364,55.0,100
episode,5,,3,-296.00,-274.71,21.29,0.7097,31.0,100
episode,5,,4,-317.20,-298.00,19.20,0.6400,50.0,100
episode,5,,5,-316.00,-288.50,27.50,0.9167,48.0,100
episode,5,,6,-241.60,-215.99,25.61,0.8537,41.0,100
episode,5,,7,-311.50,-290.68,20.82,0.6939,49.0,100
episode,5,,8,-318.00,-291.26,26.74,0.8913,46.0,100
episode,5,,9,-354.40,-325.65,28.75,0.9583,48.0,100
episode,5,,10,-353.60,-330.66,22.94,0.7647,51.0,100
episode,5,,11,-250.50,-228.15,22.35,0.7451,51.0,100
episode,5,,12,-252.00,-224.94,27.06,0.9020,51.0,100
episode,5,,13,-248.00,-220.20,27.80,0.9268,41.0,100
episode,5,,14,-324.10,-302.56,21.54,0.7179,39.0,100
episode,5,,15,-301.00,-273.79,27.21,0.9070,43.0,100
episode,5,,16,-308.20,-303.58,4.62,0.1538,39.0,100
episode,5,,17,-291.00,-265.62,25.38,0.8462,39.0,100
episode,5,,18,-307.70,-288.88,18.82,0.6275,51.0,100
episode,5,,19,-302.00,-275.00,27.00,0.9000,40.0,100
episode,5,,20,-304.20,-276.00,28.20,0.9400,50.0,100
episode,5,,21,-276.90,-248.23,28.67,0.9556,45.0,100
episode,5,,22,-337.80,-307.80,30.00,1.0000,38.0,100
